sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
END0061-004-001,GL,50.97,1.46,15.13,,,9.8,0.21,8.11,11.48,2.66,0.08,0.3,-4.272,-12.198,-2300,SPREADING_CENTER;MID-ATLANTIC RIDGE,END0061-004,EN061,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
END0061-005-001A,GL,51.08,1.34,14.67,,,10.36,0.21,8.4,11.12,2.37,0.12,0.32,-5.185,-11.517,-3300,SPREADING_CENTER;MID-ATLANTIC RIDGE,END0061-005,EN061,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
END0061-006-001C,GL,51.05,1.09,15.74,,,9.34,0.19,8.94,10.76,2.54,0.1,0.27,-6.31,-11.322,-3106,SPREADING_CENTER;MID-ATLANTIC RIDGE,END0061-006,EN061,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
ARGCIRC-244-001,GL,50.75,2.49,13.97,,,13.13,,4.87,9.55,3.36,0.48,0.3,-8.37,-13.22,-1733 to -2797,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARGCIRC-244,CIRCE,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
ARGCIRC-244-005,GL,51.65,2.53,14.16,,,13.07,,4.82,9.41,3.37,0.49,0.28,-8.37,-13.22,-1733 to -2797,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARGCIRC-244,CIRCE,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
ARGCIRC-244-006,GL,51.74,1.74,15.23,,,10.94,,6.02,9.75,3.07,0.43,0.18,-8.37,-13.22,-1733 to -2797,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARGCIRC-244,CIRCE,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
ARGCIRC-244-011,GL,51.38,1.7,15.39,,,10.72,,6.04,9.83,3,0.35,0.15,-8.37,-13.22,-1733 to -2797,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARGCIRC-244,CIRCE,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
ABP0002-035-005,GL,50.56,1.58,15.3,,,9.69,,7.79,11.39,2.54,0.29,0.19,-8.69,-20,-4600 to -4700,SPREADING_CENTER;MID-ATLANTIC RIDGE,ABP0002-035,ABP0002,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
ABP0002-035-011,GL,50.55,1.55,15.54,,,9.84,,7.78,11.36,2.51,0.29,0.22,-8.69,-20,-4600 to -4700,SPREADING_CENTER;MID-ATLANTIC RIDGE,ABP0002-035,ABP0002,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
ABP0005-031-008,GL,51.04,1.34,14.95,,,10.36,,7.7,12.24,2.13,0.07,0.11,-11.19,-12.88,-2100 to -2700,SPREADING_CENTER;MID-ATLANTIC RIDGE,ABP0005-031,ABP0005,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
