ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_NUM,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,U
2508,"NIU,1997(33)",ICPMS(44),1058,WASRAI2-094-002,12.34,-103.715,1.00E-03,-2694,-2725,SEAMOUNT,,GL,0.076
2509,"NIU,1997(33)",ICPMS(44),1059,WASRAI2-096-024,13.073,-103.453,1.00E-03,-2525,-2540,SEAMOUNT,,GL,0.072
2510,"NIU,1997(33)",ICPMS(44),1060,WASRAI2-100-001,13.13,-102.765,1.00E-03,-1816,-1828,SEAMOUNT,,GL,0.087
2511,"NIU,1997(33)",ICPMS(44),1061,WASRAI2-102-001,13.212,-103.675,1.00E-03,-2350,-2350,SEAMOUNT,,GL,0.052
2512,"NIU,1997(33)",ICPMS(44),1062,WASRAI2-103-003,13.835,-103.805,1.00E-03,-2870,-2940,SEAMOUNT,,GL,0.046
2513,"NIU,1997(33)",ICPMS(44),1063,WASRAI2-104-001,13.902,-103.76,1.00E-03,-1842,-1851,SEAMOUNT,,GL,0.099
2514,"NIU,1997(33)",ICPMS(44),1064,WASRAI2-105-005,14.125,-103.815,1.00E-03,-2679,-2685,SEAMOUNT,,GL,0.056
2515,"NIU,1997(33)",ICPMS(44),1065,WASRAI2-106-001,14.108,-103.853,1.00E-03,-2746,-2871,SEAMOUNT,,GL,0.087
2516,"NIU,1997(33)",ICPMS(44),1066,WASRAI2-107-008,14.175,-104.437,1.00E-03,-2200,-2280,SEAMOUNT,,GL,0.021
2517,"NIU,1997(33)",ICPMS(44),1067,WASRAI2-109-005,14.137,-104.303,1.00E-03,-2570,-2610,SEAMOUNT,,GL,0.318
2518,"NIU,1997(33)",ICPMS(44),1068,WASRAI2-110-004,14.148,-104.35,1.00E-03,-2760,-2840,SEAMOUNT,,GL,0.436
2519,"NIU,1997(33)",ICPMS(44),1069,WASRAI2-110-005,14.148,-104.35,1.00E-03,-2760,-2840,SEAMOUNT,,GL,0.298
2520,"NIU,1997(33)",ICPMS(44),1070,WASRAI2-111-003,14.162,-104.342,1.00E-03,-2640,-2740,SEAMOUNT,,GL,0.315
2521,"NIU,1997(33)",ICPMS(44),1071,WASRAI2-111-004,14.162,-104.342,1.00E-03,-2640,-2740,SEAMOUNT,,GL,0.339
2522,"NIU,1997(33)",ICPMS(44),1072,WASRAI2-112-002,14.15,-104.352,1.00E-03,-2800,-2800,SEAMOUNT,,GL,0.441
2523,"NIU,1997(33)",ICPMS(44),1073,WASRAI2-116-001,14.453,-104.028,1.00E-03,-2876,-3053,SEAMOUNT,,GL,0.034
2524,"NIU,1997(33)",ICPMS(44),1074,WASRAI2-118-002,14.675,-103.792,1.00E-03,-2580,-2600,SEAMOUNT,,GL,0.117
2525,"NIU,1997(33)",ICPMS(44),1007,WASRAI2-012-001,8.363,-105.638,1.00E-03,-2833,-3020,SEAMOUNT,,GL,0.08
2526,"NIU,1997(33)",ICPMS(44),1075,WASRAI2-121-003,14.572,-104.518,1.00E-03,-2879,-2995,SEAMOUNT,,GL,0.057
2527,"NIU,1997(33)",ICPMS(44),1076,WASRAI2-123-004,14.797,-104.507,1.00E-03,-2580,-2600,SEAMOUNT,,GL,0.047
2988,"DOSSO,1991(50)",NAA(134),757,PIL7003-031-L,11.517,-43.603,1.00E-03,-3000,-3175,FRACTURE_ZONE,MERCURIUS FRACTURE ZONE,ROCK,0.03
2990,"DOSSO,1991(50)",NAA(134),758,PIL7003-032-B,11.425,-43.575,1.00E-03,-2650,-2650,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,0.13
2994,"DOSSO,1991(50)",NAA(134),8582,PIL7003-012,10.967,-43.7,1.00E-03,-4600,-4600,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,0.08
3804,"LANGMUIR,1977(46)",SSMS(158),191,ALV0523-001,36.827,-33.252,1.00E-03,-2726,-2726,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,0.22
3805,"LANGMUIR,1977(46)",SSMS(158),229,ALV0527-001-001,36.808,-33.26,1.00E-03,-2707,-2707,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,0.07
3806,"LANGMUIR,1977(46)",SSMS(158),253,ALV0529-004,36.818,-33.265,0.001,-2649,-2649,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,0.2
4776,"PERFIT,1983(107)",SSMS(236),1555,ALV0994-005B,0.68,-85.47,0.01,-2675,-2675,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.08
4780,"PERFIT,1983(107)",SSMS(236),1557,ALV0996-001B,0.73,-85.37,0.01,-2570,-2570,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.25
4782,"PERFIT,1983(107)",SSMS(236),1556,ALV0995-003B,0.7,-85.4,1.00E-02,-2731,-2731,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.22
4784,"PERFIT,1983(107)",SSMS(236),1552,ALV0994-001D,0.68,-85.47,1.00E-03,-1450,-1500,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.23
4786,"PERFIT,1983(107)",SSMS(236),1553,ALV0994-002E,0.68,-85.47,0.001,-2599,-2599,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.24
4788,"PERFIT,1983(107)",SSMS(236),1554,ALV0994-003A,0.68,-85.47,0.01,-2587,-2587,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.33
4790,"PERFIT,1983(107)",SSMS(236),1559,ALV0999-001B,0.73,-85.83,0.01,-2459,-2459,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.5
4792,"PERFIT,1983(107)",SSMS(236),1562,ALV1001-001B,0.75,-85.83,1.00E-02,-2570,-2570,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.56
4794,"PERFIT,1983(107)",SSMS(236),1551,ALV0994-001B,0.68,-85.47,0.001,-1450,-1500,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.42
5783,"MERTZ,1991(412)",MS-ID(279),1858,POLARK5-037-001,67.08,-18.75,0.01,-170,-170,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.016
5786,"MERTZ,1991(412)",MS-ID(279),1869,POLARK5-025-002A,67.1,-18.7,0.01,-91,-91,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.035
5788,"MERTZ,1991(412)",MS-ID(279),1862,POLARK5-022-002A,67.1,-18.72,1.00E-02,-110,-110,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.032
5791,"MERTZ,1991(412)",MS-ID(279),1901,POS0158-002-002,67.925,-18.3623,1.00E-04,,,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.034
5792,"MERTZ,1991(412)",MS-ID(279),1901,POS0158-002-002,67.925,-18.3623,0.0001,,,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.034
5798,"MERTZ,1991(412)",MS-ID(279),1886,POS0158-457-001,68.08,-18.24,0.01,-600,-600,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.051
5799,"MERTZ,1991(412)",MS-ID(279),1886,POS0158-457-001,68.08,-18.24,0.01,-600,-600,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.051
5803,"MERTZ,1991(412)",MS-ID(279),1889,POS0158-446-001,68.3,-18.08,0.01,-750,-750,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.039
5806,"MERTZ,1991(412)",MS-ID(279),1892,POS0158-438-002,68.54,-17.79,0.01,-1000,-1000,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.067
5808,"MERTZ,1991(412)",MS-ID(279),1894,POS0158-418-003,68.72,-17.69,0.01,-1050,-1050,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.059
5810,"MERTZ,1991(412)",MS-ID(279),1895,POS0158-436-001,68.74,-17.62,0.01,-1150,-1150,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.111
5812,"MERTZ,1991(412)",MS-ID(279),1897,POS0158-425-001,69.19,-16.61,1.00E-02,-500,-500,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.032
5927,"BOURDON,1996(414)",MS-ID(284),1904,AII0127-1-017-003,37.8363,-31.5182,1.00E-04,-1009,-1009,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.554
5929,"BOURDON,1996(414)",MS-ID(284),1905,AII0127-1-017-005,37.8363,-31.5182,1.00E-04,-1009,-1009,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.511
5931,"BOURDON,1996(414)",MS-ID(284),1908,AII0127-1-021-003,38.4908,-30.2653,1.00E-04,-2095,-2095,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.776
5933,"BOURDON,1996(414)",MS-ID(284),1909,AII0127-1-021-005,38.4908,-30.2653,1.00E-04,-2095,-2095,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.744
5935,"BOURDON,1996(414)",MS-ID(284),1910,AII0127-1-022-005,39.0378,-30.025,1.00E-04,-1386,-1386,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.632
5937,"BOURDON,1996(414)",MS-ID(284),1911,AII0127-1-022-006,39.0378,-30.025,0.0001,-1386,-1386,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.565
5939,"BOURDON,1996(414)",MS-ID(284),1914,AII0127-2-024-002,40.5225,-29.5367,,-2920,-2920,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.191
5941,"BOURDON,1996(414)",MS-ID(284),1915,AII0127-2-026-001,39.9078,-29.6722,1.00E-04,-2068,-2068,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.138
5943,"BOURDON,1996(414)",MS-ID(284),1917,AII0127-2-026-005,39.9078,-29.6722,1.00E-04,-2068,-2068,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.139
5945,"BOURDON,1996(414)",MS-ID(284),1918,AII0127-2-027-003,39.5052,-29.7378,1.00E-04,-2288,-2288,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.166
5947,"BOURDON,1996(414)",MS-ID(284),1919,AII0127-2-027-004,39.5052,-29.7378,1.00E-04,-2288,-2288,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.224
5949,"BOURDON,1996(414)",MS-ID(284),1920,AII0127-2-027-005,39.5052,-29.7378,0.0001,-2288,-2288,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.225
5951,"BOURDON,1996(414)",MS-ID(284),1922,AII0127-2-029-001,39.432,-29.8455,,-1860,-1860,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.539
5953,"BOURDON,1996(414)",MS-ID(284),1923,AII0127-2-029-002,39.432,-29.8455,,-1860,-1860,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.525
5955,"BOURDON,1996(414)",MS-ID(284),1925,AII0127-1-R046,37.711,-31.558,,-1420,-1420,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.261
5957,"BOURDON,1996(414)",MS-ID(284),1930,AII0127-1-R063,38.828,-30.088,,-1240,-1240,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.541
5959,"BOURDON,1996(414)",MS-ID(284),1933,AII0127-1-R066,39.059,-30.027,,-1280,-1280,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.593
5961,"BOURDON,1996(414)",MS-ID(284),1936,AII0127-2-R070,40.318,-29.553,,-2480,-2480,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.039
5963,"BOURDON,1996(414)",MS-ID(284),1940,AII0127-2-R077,40.113,-29.647,,-2495,-2495,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.151
5965,"BOURDON,1996(414)",MS-ID(284),1951,AII0127-2-R089,39.168,-29.98,,-1538,-1538,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.551
5967,"BOURDON,1996(414)",MS-ID(284),1952,AII0127-2-R090,39.103,-30.02,,-1208,-1208,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.623
5969,"BOURDON,1996(414)",MS-ID(284),1954,AII0127-2-R098,37.822,-31.53,,-1041,-1041,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.264
6318,"GRAHAM,1987(557)",INAA(292),2042,NHORIS3-019-023,12.733,-102.583,1.00E-03,-1450,-1450,SEAMOUNT,,GL,1
6321,"GRAHAM,1987(557)",INAA(292),2043,NHORIS3-020-002,12.717,-102.583,1.00E-03,-1020,-1020,SEAMOUNT,,GL,0.79
6324,"GRAHAM,1987(557)",INAA(292),2044,WASCERE-006-003,12.745,-102.562,1.00E-03,-1711,-2202,SEAMOUNT,,GL,1.52
6327,"GRAHAM,1987(557)",INAA(292),6876,WASCERE-006B-002,12.745,-102.562,1.00E-03,-1711,-2202,SEAMOUNT,,GL,1.47
6333,"GRAHAM,1987(557)",INAA(292),2046,WASCERE-006-006,12.745,-102.562,0.001,-1711,-2202,SEAMOUNT,,GL,0.04
6336,"GRAHAM,1987(557)",INAA(292),2047,ALV1388-1724,12.73,-102.55,0.01,-2271,-2271,SEAMOUNT,,GL,0.24
6339,"GRAHAM,1987(557)",INAA(292),2048,ALV1389-1613,12.73,-102.55,0.01,-1874,-1874,SEAMOUNT,,GL,1.19
6344,"GRAHAM,1987(557)",INAA(292),2049,ALV1389-1647,12.73,-102.55,0.01,-1797,-1797,SEAMOUNT,,GL,1.42
