sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Mo,Nb,Ni,Pb,Rb,Sc,Sn,Sr,Ta,Th,Ti,U,V,W,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Pd,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
MIR2157-005,WR,,,,,,,,,,,,,,12,29,,15,4.7,1.7,3.9,,3.9,0.8,2.8,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.9045,151.8258,-2191,BACK-ARC_BASIN;WOODLARK BASIN,MIR2157-005,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% pc, plag>ol",,"Dril,1997(855)",ES(2470)
MIR2192-003,WR,,,,,,,,,,,,,,13,29,,16,4.4,1.4,4.2,,4.1,0.83,2.8,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.905,151.8167,-2220,BACK-ARC_BASIN;WOODLARK BASIN,MIR2192-003,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 20-25% pc, plag>cpx>ol",,"Dril,1997(855)",ES(2470)
MIR2197-001,WR,,,,,,,,,,,,,,14,34,,22,6.1,1.7,4.7,,4.5,1,3.2,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.79,151.674,-3300,BACK-ARC_BASIN;WOODLARK BASIN,MIR2197-001,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 25-30% pc, plag>ol>cpx",,"Dril,1997(855)",ES(2470)
MIR2177-009,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70465,,,,,,-9.7755,150.9738,-931,BACK-ARC_BASIN;WOODLARK BASIN,MIR2177-009,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 10-15% pc, plag>cpx>ol; clots of cpx+plag",,"Dril,1997(855)",MS(2472)
MIR2177-020,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7043,,,,,,-9.7777,150.9925,-333,BACK-ARC_BASIN;WOODLARK BASIN,MIR2177-020,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% ol-pc",,"Dril,1997(855)",MS(2472)
MIR2186-003,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70415,,,,,,-9.7917,151.0295,-1165,BACK-ARC_BASIN;WOODLARK BASIN,MIR2186-003,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 1-2% ol-pc",,"Dril,1997(855)",MS(2472)
MIR2186-005,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70415,,,,,,-9.7847,151.0122,-1128,BACK-ARC_BASIN;WOODLARK BASIN,MIR2186-005,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% pc, ol>>plag",,"Dril,1997(855)",MS(2472)
MIR2157-001,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70339,,,,,,-9.9193,151.8127,-2463,BACK-ARC_BASIN;WOODLARK BASIN,MIR2157-001,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% pc, plag>>ol>cpx",,"Dril,1997(855)",MS(2472)
MIR2157-005,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70355,,,,,,-9.9045,151.8258,-2191,BACK-ARC_BASIN;WOODLARK BASIN,MIR2157-005,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% pc, plag>ol",,"Dril,1997(855)",MS(2472)
MIR2170-001,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70327,,,,,,-9.9255,151.855,-2320,BACK-ARC_BASIN;WOODLARK BASIN,MIR2170-001,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% pc, ol>>plag",,"Dril,1997(855)",MS(2472)
MIR2192-003,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70321,,,,,,-9.905,151.8167,-2220,BACK-ARC_BASIN;WOODLARK BASIN,MIR2192-003,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 20-25% pc, plag>cpx>ol",,"Dril,1997(855)",MS(2472)
MIR2197-001,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70396,,,,,,-9.79,151.674,-3300,BACK-ARC_BASIN;WOODLARK BASIN,MIR2197-001,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 25-30% pc, plag>ol>cpx",,"Dril,1997(855)",MS(2472)
MIR2197-005,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70305,,,,,,-9.79,151.6942,-3183,BACK-ARC_BASIN;WOODLARK BASIN,MIR2197-005,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 10-15% pc, plag>cpx, ol",,"Dril,1997(855)",MS(2472)
SON0048-G007,GL ,49.9,1.04,14.72,8.22,1.8,,,0.18,8.34,12.53,2.15,0.01,0.06,,,,,,,,,,,,,,,,,,313,,114,,,,,,,97,,,,,72,,,,,301,,20,77,53,,,,,,,-18.5745,-176.4192,-2285 to -2371,BACK-ARC_BASIN;LAU BASIN,SON0048-G007,SO048,tv-controlled grab,"basalt; basalt; , ",fresh,"Sunkel,1990(638)",TITR(2561); XRF(2560)
SON0048-G046,GL ,50.4,1.35,13.91,9.46,2.61,,,0.22,7.3,11.6,2.4,0.02,0.09,,,,,,,,,,,,,,,,,,75,,109,,,,,,,57,,,,,80,,,,,361,,38,100,73,,,,,,,-18.7345,-176.5108,-2256 to -2303,BACK-ARC_BASIN;LAU BASIN,SON0048-G046,SO048,tv-controlled grab,"basalt; basalt; , ",fresh,"Sunkel,1990(638)",TITR(2561); XRF(2560)
